id;title;length;year;reals;actors;genres;boxoffice
1586;"Robot &amp; Frank";89;2012;"Jake Schreier
";Peter Sarsgaard, Frank Langella, Susan Sarandon;Comedie, Crime, Drame;
1587;L'homme au masque de fer;132;1998;"Randall Wallace
";Leonardo DiCaprio, Jeremy Irons, John Malkovich;Action, Aventure;
1588;Souris City;85;2006;"David Bowers
, Sam Fell
";Hugh Jackman, Kate Winslet, Ian McKellen;Animation, Aventure, Comedie;
1589;Retour vers le futur: 3e partie;118;1990;"Robert Zemeckis
";Michael J. Fox, Christopher Lloyd, Mary Steenburgen;Aventure, Comedie, Science-Fiction;
1590;L'oeil du mal;118;2008;"D.J. Caruso
";Shia LaBeouf, Michelle Monaghan, Rosario Dawson;Action, MystÃ¨re, Thriller;
1591;Waterboy;90;1998;"Frank Coraci
";Adam Sandler, Kathy Bates, Henry Winkler;Comedie, Sport;
1592;Quatre frÃ¨res;109;2005;"John Singleton
";Mark Wahlberg, Tyrese Gibson, Garrett Hedlund;Action, Crime, Drame;
1593;Hocus Pocus: Les trois sorciÃ¨res;96;1993;"Kenny Ortega
";Bette Midler, Sarah Jessica Parker, Kathy Najimy;Comedie, Familliale, Fantastique;
1594;The Hours;114;2002;"Stephen Daldry
";Meryl Streep, Nicole Kidman, Julianne Moore;Drame;
1595;Funny Girl;151;1968;"William Wyler
";Barbra Streisand, Omar Sharif, Kay Medford;Biopic, Comedie, Drame;
1596;La momie - La tombe de l'empereur dragon;112;2008;"Rob Cohen
";Brendan Fraser, Jet Li, Maria Bello;Action, Aventure, Fantastique;
1597;Tootsie;116;1982;"Sydney Pollack
";Dustin Hoffman, Jessica Lange, Teri Garr;Comedie, Drame, Romantique;
1598;La peur au ventre;122;2006;"Wayne Kramer
";Paul Walker, Cameron Bright, Chazz Palminteri;Action, Crime, Drame;
1599;ParanoÃ¯ak;105;2007;"D.J. Caruso
";Shia LaBeouf, David Morse, Carrie-Anne Moss;Drame, MystÃ¨re, Thriller;
1600;Les chroniques de Spiderwick;96;2008;"Mark Waters
";Freddie Highmore, Sarah Bolger, David Strathairn;Aventure, Familliale, Fantastique;
1601;The Box;115;2009;"Richard Kelly
";Cameron Diaz, James Marsden, Frank Langella;Drame, MystÃ¨re, Science-Fiction;
1602;Punch 119;99;2013;"Eran Creevy
";James McAvoy, Mark Strong, Andrea Riseborough;Action, Crime, Thriller;
1603;IdentitÃ© secrÃ¨te;106;2011;"John Singleton
";Taylor Lautner, Lily Collins, Alfred Molina;Action, MystÃ¨re, Thriller;
1604;En quarantaine;89;2008;"John Erick Dowdle
";Jennifer Carpenter, Steve Harris, Columbus Short;Horreur, Thriller;
1605;Gigolo Ã  tout prix;88;1999;"Mike Mitchell
";Rob Schneider, William Forsythe, Eddie Griffin;Comedie;
1606;Le mariage de mon meilleur ami;105;1997;"P.J. Hogan
";Julia Roberts, Dermot Mulroney, Cameron Diaz;Comedie, Romantique;
1607;Austin Powers dans Goldmember;94;2002;"Jay Roach
";Mike Myers, BeyoncÃ© Knowles, Seth Green;Action, Comedie, Crime;
1608;Two for the Money;122;2005;"D.J. Caruso
";Matthew McConaughey, Al Pacino, Rene Russo;Drame, Sport, Thriller;
1609;Peur bleue;105;1999;"Renny Harlin
";Thomas Jane, Saffron Burrows, Samuel L. Jackson;Action, Science-Fiction, Thriller;
1610;Rencontre Ã  Wicker Park;114;2004;"Paul McGuigan
";Josh Hartnett, Diane Kruger, Matthew Lillard;Drame, MystÃ¨re, Romantique;
1611;Black Snake Moan;116;2006;"Craig Brewer
";Christina Ricci, Samuel L. Jackson, Justin Timberlake;Drame;
1612;Cosmopolis;109;2012;"David Cronenberg
";Robert Pattinson, Juliette Binoche, Sarah Gadon;Drame, Thriller;
1613;Nanny McPhee;97;2005;"Kirk Jones
";Emma Thompson, Colin Firth, Angela Lansbury;Comedie, Familliale, Fantastique;
1614;Passion;102;2012;"Brian De Palma
";Rachel McAdams, Noomi Rapace, Karoline Herfurth;Crime, Drame, MystÃ¨re;
1615;Tron;96;1982;"Steven Lisberger
";Jeff Bridges, Bruce Boxleitner, David Warner;Action, Aventure, Science-Fiction;
1616;La fiÃ¨vre du samedi soir;118;1977;"John Badham
";John Travolta, Karen Lynn Gorney, Barry Miller;Drame, Music;
1617;30 Minutes Maximum;83;2011;"Ruben Fleischer
";Jesse Eisenberg, Danny McBride, Nick Swardson;Action, Comedie, Crime;
1618;Clerks, les employÃ©s modÃ¨les;92;1994;"Kevin Smith
";Brian O'Halloran, Jeff Anderson, Marilyn Ghigliotti;Comedie;
1619;Young Adult;94;2011;"Jason Reitman
";Charlize Theron, Patrick Wilson, Patton Oswalt;Comedie, Drame;
1620;Elfe;97;2003;"Jon Favreau
";Will Ferrell, James Caan, Bob Newhart;Comedie, Familliale, Fantastique;
1621;Le rite;114;2011;"Mikael HÃ¥fstrÃ¶m
";Colin O'Donoghue, Anthony Hopkins, CiarÃ¡n Hinds;Drame, Horreur, Thriller;
1622;Eh mec! Elle est oÃ¹ ma caisse?;83;2000;"Danny Leiner
";Ashton Kutcher, Seann William Scott, Jennifer Garner;Comedie, MystÃ¨re, Science-Fiction;
1623;La neuviÃ¨me porte;133;1999;"Roman Polanski
";Johnny Depp, Frank Langella, Lena Olin;MystÃ¨re, Thriller;
1624;Les noces funÃ¨bres;77;2005;"Tim Burton
, Mike Johnson
";Johnny Depp, Helena Bonham Carter, Emily Watson;Animation, Fantastique, Musical;
1625;Saved!;92;2004;"Brian Dannelly
";Jena Malone, Mandy Moore, Macaulay Culkin;Comedie, Drame;
1626;George de la jungle;92;1997;"Sam Weisman
";Brendan Fraser, Leslie Mann, Thomas Haden Church;Action, Aventure, Comedie;
1627;Trop loin pour toi;102;2010;"Nanette Burstein
";Drew Barrymore, Justin Long, Ron Livingston;Comedie, Romantique;
1628;Galaxy Quest;102;1999;"Dean Parisot
";Tim Allen, Sigourney Weaver, Alan Rickman;Aventure, Comedie, Science-Fiction;
1629;Invictus;134;2009;"Clint Eastwood
";Morgan Freeman, Matt Damon, Tony Kgoroge;Biopic, Drame, Historique;
1630;Les 101 dalmatiens;103;1996;"Stephen Herek
";Glenn Close, Jeff Daniels, Joely Richardson;Familliale, Comedie, Aventure;
1631;Friends with Kids;107;2011;"Jennifer Westfeldt
";Jennifer Westfeldt, Adam Scott, Maya Rudolph;Comedie, Drame, Romantique;
1632;Desperado 2 - Il Ã©tait une fois au Mexique;102;2003;"Robert Rodriguez
";Antonio Banderas, Salma Hayek, Johnny Depp;Action, Thriller;
1633;Extract;92;2009;"Mike Judge
";Jason Bateman, Kristen Wiig, Ben Affleck;Comedie, Crime, Romantique;
1634;Primer;77;2004;"Shane Carruth
";Shane Carruth, David Sullivan, Casey Gooden;Drame, Thriller, Science-Fiction;
1635;Emprise;100;2001;"Bill Paxton
";Bill Paxton, Matthew McConaughey, Powers Boothe;Crime, Drame, Thriller;
1636;Rox et Rouky;83;1981;"Ted Berman
, Richard Rich
, Art Stevens
";Mickey Rooney, Kurt Russell, Pearl Bailey;Animation, Aventure, Drame;
1637;Histoires enchantÃ©es;99;2008;"Adam Shankman
";Adam Sandler, Keri Russell, Courteney Cox;Comedie, Familliale, Fantastique;
1638;Shrek 3;93;2007;"Chris Miller
, Raman Hui
";Mike Myers, Cameron Diaz, Eddie Murphy;Animation, Aventure, Comedie;
1639;Le cas 39;109;2009;"Christian Alvart
";RenÃ©e Zellweger, Ian McShane, Jodelle Ferland;Horreur, MystÃ¨re, Thriller;
1640;Mon beau-pÃ¨re, mes parents et moi;115;2004;"Jay Roach
";Ben Stiller, Robert De Niro, Blythe Danner;Comedie, Romantique;
1641;Silverado;133;1985;"Lawrence Kasdan
";Kevin Kline, Scott Glenn, Kevin Costner;Action, Crime, Drame;
1642;Bienvenue Ã  Monte Carlo;109;2011;"Thomas Bezucha
";Selena Gomez, Leighton Meester, Katie Cassidy;Aventure, Comedie, Romantique;
1643;Le transporteur 3;104;2008;"Olivier Megaton
";Jason Statham, Robert Knepper, Natalya Rudakova;Action, Aventure, Crime;
1644;PÃ©chÃ© originel;116;2001;"Michael Cristofer
";Antonio Banderas, Angelina Jolie, Thomas Jane;Drame, MystÃ¨re, Romantique;
1645;Terrain d'entente;104;2005;"Bobby Farrelly
, Peter Farrelly
";Drew Barrymore, Jimmy Fallon, Jason Spevack;Comedie, Drame, Romantique;
1646;Alien vs. Predator;101;2004;"Paul W.S. Anderson
";Sanaa Lathan, Lance Henriksen, Raoul Bova;Action, Aventure, Science-Fiction;
1647;Team america, police du monde;98;2004;"Trey Parker
";Trey Parker, Matt Stone, Elle Russ;Animation, Action, Aventure;
1648;L'arnaque;129;1973;"George Roy Hill
";Paul Newman, Robert Redford, Robert Shaw;Comedie, Crime, Drame;
1649;Super;96;2010;"James Gunn
";Rainn Wilson, Ellen Page, Liv Tyler;Comedie, Drame;
1650;Excision;81;2012;"Richard Bates Jr.
";AnnaLynne McCord, Roger Bart, Ariel Winter;Drame, Horreur;
1651;Ed Wood;127;1994;"Tim Burton
";Johnny Depp, Martin Landau, Sarah Jessica Parker;Biopic, Comedie, Drame;
1652;Cabin fever - fiÃ¨vre noire;93;2002;"Eli Roth
";Jordan Ladd, Rider Strong, James DeBello;Horreur;
1653;"Bill &amp; Ted's Excellent Adventure";90;1989;"Stephen Herek
";Keanu Reeves, Alex Winter, George Carlin;Aventure, Comedie, Science-Fiction;
1654;Rush Hour;98;1998;"Brett Ratner
";Jackie Chan, Chris Tucker, Ken Leung;Action, Comedie, Thriller;
1655;Les petits champions;100;1992;"Stephen Herek
";Emilio Estevez, Joss Ackland, Lane Smith;Action, Comedie, Drame;
1656;Destination finale 3;93;2006;"James Wong
";Mary Elizabeth Winstead, Ryan Merriman, Kris Lemche;Horreur, Thriller;
1657;Solomon Kane;104;2009;"Michael J. Bassett
";James Purefoy, Max von Sydow, Rachel Hurd-Wood;Action, Aventure, Fantastique;
1658;The Bay;84;2012;"Barry Levinson
";Will Rogers, Kristen Connolly, Kether Donohue;Horreur, Science-Fiction, Thriller;
1659;L'amour de l'or;112;2008;"Andy Tennant
";Matthew McConaughey, Kate Hudson, Donald Sutherland;Aventure, Comedie, Romantique;
1660;7 ans de sÃ©duction;107;2005;"Nigel Cole
";Ashton Kutcher, Amanda Peet, Taryn Manning;Comedie, Drame, Romantique;
1661;Submarine;97;2010;"Richard Ayoade
";Craig Roberts, Sally Hawkins, Paddy Considine;Comedie, Drame, Romantique;
1662;Swingers;96;1996;"Doug Liman
";Vince Vaughn, Heather Graham, Jon Favreau;Comedie, Drame;
1663;New York, I Love You;103;2008;"Fatih Akin
, Yvan Attal
, Randall Balsmeyer
, Allen Hughes
, Shunji Iwai
, Wen Jiang
, Shekhar Kapur
, Joshua Marston
, Mira Nair
, Natalie Portman
, Brett Ratner
";Shia LaBeouf, Natalie Portman, Bradley Cooper;Comedie, Drame, Romantique;
1664;Le sang des templiers;121;2011;"Jonathan English
";Paul Giamatti, Jason Flemyng, Brian Cox;Action, Aventure, Historique;
1665;La malÃ©diction de Chucky;97;2013;"Don Mancini
";Chantal Quesnelle, Fiona Dourif, Jordan Gavaris;Crime, Horreur, Thriller;
1666;L'Ã©trange pouvoir de Norman;92;2012;"Chris Butler
, Sam Fell
";Kodi Smit-McPhee, Anna Kendrick, Christopher Mintz-Plasse;Animation, Aventure, Comedie;
1667;WarGames;114;1983;"John Badham
";Matthew Broderick, Ally Sheedy, John Wood;Science-Fiction, Thriller;
1668;Oeil pour oeil;101;1978;"Meir Zarchi
";Camille Keaton, Eron Tabor, Richard Pace;Horreur, Thriller;
1669;Excalibur;140;1981;"John Boorman
";Nigel Terry, Helen Mirren, Nicholas Clay;Aventure, Drame, Fantastique;
1670;Le nombre 23;101;2007;"Joel Schumacher
";Jim Carrey, Virginia Madsen, Logan Lerman;MystÃ¨re, Thriller;
1671;The Ghost Writer;128;2010;"Roman Polanski
";Ewan McGregor, Pierce Brosnan, Olivia Williams;MystÃ¨re, Thriller;
1672;Underworld 2: Evolution;106;2006;"Len Wiseman
";Kate Beckinsale, Scott Speedman, Bill Nighy;Action, Fantastique, Science-Fiction;
1673;Billy Madison;89;1995;"Tamra Davis
";Adam Sandler, Darren McGavin, Bridgette Wilson-Sampras;Comedie;
1674;That Thing You Do!;108;1996;"Tom Hanks
";Tom Hanks, Liv Tyler, Charlize Theron;Comedie, Drame, Music;
1675;L'Irlandais;96;2011;"John Michael McDonagh
";Brendan Gleeson, Don Cheadle, Mark Strong;Comedie, Crime, Thriller;
1676;Cinema Paradiso;155;1988;"Giuseppe Tornatore
";Philippe Noiret, Enzo Cannavale, Antonella Attili;Drame;
1677;Doute;104;2008;"John Patrick Shanley
";Meryl Streep, Philip Seymour Hoffman, Amy Adams;Drame, MystÃ¨re;
1678;Frankenstein junior;106;1974;"Mel Brooks
";Gene Wilder, Madeline Kahn, Marty Feldman;Comedie;
1679;Casper;100;1995;"Brad Silberling
";Bill Pullman, Christina Ricci, Cathy Moriarty;Comedie, Familliale, Fantastique;
1680;Angel Heart - Aux portes de l'enfer;113;1987;"Alan Parker
";Mickey Rourke, Robert De Niro, Lisa Bonet;Horreur, MystÃ¨re, Thriller;
1681;Angus, Thongs and Perfect Snogging;100;2008;"Gurinder Chadha
";Georgia Groome, Aaron Taylor-Johnson, Karen Taylor;Comedie, Drame;
1682;Borat, leÃ§ons culturelles sur l'AmÃ©rique au profit de la glorieuse nation Kazakhstan;84;2006;"Larry Charles
";Sacha Baron Cohen, Ken Davitian, Luenell;Comedie;
1683;High Fidelity;113;2000;"Stephen Frears
";John Cusack, Iben Hjejle, Todd Louiso;Comedie, Drame, Music;
1684;Bernie;99;2011;"Richard Linklater
";Jack Black, Shirley MacLaine, Matthew McConaughey;Comedie, Crime, Drame;
1685;MÃ©moires de nos pÃ¨res;132;2006;"Clint Eastwood
";Ryan Phillippe, Barry Pepper, Joseph Cross;Drame, Historique, Guerre;
