id;title;length;year;reals;actors;genres;boxoffice
3370;Mondwest;88;1973;"Michael Crichton
";Yul Brynner, Richard Benjamin, James Brolin;Action, Science-Fiction, Thriller;
3371;La fiÃ¨vre au corps;113;1981;"Lawrence Kasdan
";William Hurt, Kathleen Turner, Richard Crenna;Thriller;
3372;Chaos Theory;87;2008;"Marcos Siega
";Ryan Reynolds, Emily Mortimer, Stuart Townsend;Comedie, Drame, Romantique;
3373;HarcelÃ©s;110;2008;"Neil LaBute
";Samuel L. Jackson, Patrick Wilson, Kerry Washington;Crime, Drame, Thriller;
3374;Vacances sur ordonnance;112;2006;"Wayne Wang
";Queen Latifah, LL Cool J, Timothy Hutton;Aventure, Comedie, Drame;
3375;After Hours: Quelle nuit de galÃ¨re;97;1985;"Martin Scorsese
";Griffin Dunne, Rosanna Arquette, Verna Bloom;Comedie, Drame, Thriller;
3376;El mariachi;81;1992;"Robert Rodriguez
";Carlos Gallardo, Consuelo GÃ³mez, Jaime de Hoyos;Action, Crime, Drame;
3377;La chatte sur un toit brÃ»lant;108;1958;"Richard Brooks
";Elizabeth Taylor, Paul Newman, Burl Ives;Drame;
3378;The Proposition;104;2005;"John Hillcoat
";Ray Winstone, Guy Pearce, Emily Watson;Crime, Drame, Western;
3379;Pas de printemps pour Marnie;130;1964;"Alfred Hitchcock
";Tippi Hedren, Sean Connery, Diane Baker;Drame, MystÃ¨re, Romantique;
3380;CachÃ©;117;2005;"Michael Haneke
";Daniel Auteuil, Juliette Binoche, Maurice BÃ©nichou;Drame, MystÃ¨re, Thriller;
3381;Un mari de trop;90;2008;"Griffin Dunne
";Uma Thurman, Jeffrey Dean Morgan, Justina Machado;Comedie, Romantique;
3382;Mon boss, sa fille et moi;86;2003;"David Zucker
";Ashton Kutcher, Tara Reid, Andy Richter;Comedie, Romantique;
3383;La dÃ©chirure;141;1984;"Roland JoffÃ©
";Sam Waterston, Haing S. Ngor, John Malkovich;Drame, Historique, Guerre;
3384;MÃ©tal hurlant;86;1981;"Gerald Potterton
";Richard Romanus, John Candy, Joe Flaherty;Animation, Aventure, Fantastique;
3385;Les folles aventures de Bill et Ted;93;1991;"Peter Hewitt
";Keanu Reeves, Alex Winter, William Sadler;Aventure, Comedie, Fantastique;
3386;Professeur Holland;143;1995;"Stephen Herek
";Richard Dreyfuss, Glenne Headly, Jay Thomas;Drame, Music;
3387;Summer of Sam;142;1999;"Spike Lee
";John Leguizamo, Adrien Brody, Mira Sorvino;Crime, Drame, Romantique;
3388;M le maudit;118;1931;"Fritz Lang
";Peter Lorre, Ellen Widmann, Inge Landgut;Crime, Drame, Thriller;
3389;Les dÃ©saxÃ©s;124;1961;"John Huston
";Clark Gable, Marilyn Monroe, Montgomery Clift;Drame;
3390;Session 9;100;2001;"Brad Anderson
";David Caruso, Stephen Gevedon, Paul Guilfoyle;Horreur, MystÃ¨re;
3391;Profession profiler;106;2004;"Renny Harlin
";Val Kilmer, LL Cool J, Christian Slater;Crime, MystÃ¨re, Thriller;
3392;Kangourou Jack;89;2003;"David McNally
";Anthony Anderson, Jerry O'Connell, Estella Warren;Action, Aventure, Comedie;
3393;Johnny Mnemonic;96;1995;"Robert Longo
";Keanu Reeves, Dolph Lundgren, Dina Meyer;Action, Science-Fiction;
3394;Cyrus;91;2010;"Jay Duplass
, Mark Duplass
";John C. Reilly, Marisa Tomei, Jonah Hill;Drame, Romantique;
3395;Le facteur sonne toujours deux fois;122;1981;"Bob Rafelson
";Jack Nicholson, Jessica Lange, John Colicos;Crime, Drame, Thriller;
3396;Le marchand de Venise;138;2004;"Michael Radford
";Al Pacino, Joseph Fiennes, Lynn Collins;Drame, Romantique;
3397;Hannah et ses soeurs;103;1986;"Woody Allen
";Mia Farrow, Dianne Wiest, Michael Caine;Comedie, Drame;
3398;Showtime;95;2002;"Tom Dey
";Robert De Niro, Eddie Murphy, Rene Russo;Action, Comedie, Crime;
3399;Cruising - La Chasse;102;1980;"William Friedkin
";Al Pacino, Paul Sorvino, Karen Allen;Crime, Drame, MystÃ¨re;
3400;Dommage collatÃ©ral;108;2002;"Andrew Davis
";Arnold Schwarzenegger, John Leguizamo, Francesca Neri;Action, Drame, Thriller;
3401;Simone;117;2002;"Andrew Niccol
";Al Pacino, Catherine Keener, Rachel Roberts;Comedie, Drame, Fantastique;
3402;Starfighter;101;1984;"Nick Castle
";Lance Guest, Robert Preston, Kay E. Kuter;Action, Aventure, Familliale;
3403;Avant la nuit;133;2000;"Julian Schnabel
";Javier Bardem, Johnny Depp, Olatz LÃ³pez Garmendia;Biopic, Drame;
3404;Kalifornia;117;1993;"Dominic Sena
";Brad Pitt, Juliette Lewis, Kathy Larson;Crime, Thriller;
3405;Fame;134;1980;"Alan Parker
";Eddie Barth, Irene Cara, Lee Curreri;Drame, Music, Musical;
3406;Taxi;86;1998;"GÃ©rard PirÃ¨s
";Samy Naceri, FrÃ©dÃ©ric Diefenthal, Marion Cotillard;Action, Comedie, Crime;
3407;Terre-Neuve;111;2001;"Lasse HallstrÃ¶m
";Kevin Spacey, Julianne Moore, Judi Dench;Drame, Romantique;
3408;Trois hommes et un bÃ©bÃ©;102;1987;"Leonard Nimoy
";Tom Selleck, Steve Guttenberg, Ted Danson;Comedie, Drame, Familliale;
3409;Malveillance;102;2011;"Jaume BalaguerÃ³
";Luis Tosar, Marta Etura, Alberto San Juan;Drame, Thriller;
3410;Lancelot;134;1995;"Jerry Zucker
";Sean Connery, Richard Gere, Julia Ormond;Aventure, Drame, Romantique;
3411;La machine Ã  explorer le temps;103;1960;"George Pal
";Rod Taylor, Alan Young, Yvette Mimieux;Aventure, Fantastique, Romantique;
3412;Peter et Elliott le dragon;128;1977;"Don Chaffey
";Sean Marshall, Helen Reddy, Jim Dale;Aventure, Familliale, Fantastique;
3413;Charlie;89;1989;"Don Bluth
, Gary Goldman
, Dan Kuenster
";Dom DeLuise, Burt Reynolds, Judith Barsi;Animation, Comedie, Drame;
3414;The Wicker Man;88;1973;"Robin Hardy
";Edward Woodward, Christopher Lee, Diane Cilento;Horreur, MystÃ¨re, Thriller;
3415;Les Looney Tunes passent Ã  l'action;91;2003;"Joe Dante
";Brendan Fraser, Jenna Elfman, Steve Martin;Animation, Aventure, Comedie;
3416;L'ombre du vampire;92;2000;"E. Elias Merhige
";John Malkovich, Willem Dafoe, Udo Kier;Drame, Horreur;
3417;Le grand jour;103;2009;"Aaron Schneider
";Robert Duvall, Bill Murray, Sissy Spacek;Drame, MystÃ¨re;
3418;Evita;135;1996;"Alan Parker
";Madonna, Jonathan Pryce, Antonio Banderas;Biopic, Drame, Historique;
3419;Le voyage fantastique;100;1966;"Richard Fleischer
";Stephen Boyd, Raquel Welch, Edmond O'Brien;Aventure, Familliale, Science-Fiction;
3420;Le violon rouge;140;1998;"FranÃ§ois Girard
";Carlo Cecchi, Jean-Luc Bideau, Christoph Koncz;Drame, Romantique, MystÃ¨re;
3421;Big Mamma: de pÃ¨re en fils;107;2011;"John Whitesell
";Martin Lawrence, Brandon T. Jackson, Jessica Lucas;Action, Comedie, Crime;
3422;La vÃ©ritable histoire du petit chaperon rouge;80;2005;"Cory Edwards
, Todd Edwards
, Tony Leech
";Anne Hathaway, Glenn Close, Patrick Warburton;Animation, Comedie, Familliale;
3423;Coco avant Chanel;105;2009;"Anne Fontaine
";Audrey Tautou, BenoÃ®t Poelvoorde, Alessandro Nivola;Biopic, Drame;
3424;Feu de glace;100;2002;"Kaige Chen
";Heather Graham, Joseph Fiennes, Natascha McElhone;Drame, MystÃ¨re, Romantique;
3425;Welcome to the Rileys;110;2010;"Jake Scott
";James Gandolfini, Kristen Stewart, Melissa Leo;Drame;
3426;Kung Pow: Enter the Fist;81;2002;"Steve Oedekerk
";Steve Oedekerk, Fei Lung, Leo Lee;Action, Comedie;
3427;Tigerland;101;2000;"Joel Schumacher
";Colin Farrell, Matthew Davis, Clifton Collins Jr.;Drame, Guerre;
3428;En sursis;101;2003;"Andrzej Bartkowiak
";Jet Li, DMX, Mark Dacascos;Action, Crime, Drame;
3429;Ennemis rapprochÃ©s;107;1997;"Alan J. Pakula
";Harrison Ford, Brad Pitt, Margaret Colin;Crime, Drame, Thriller;
3430;Les Muppets Ã  Manhattan;94;1984;"Frank Oz
";Jim Henson, Frank Oz, Dave Goelz;Comedie, Familliale, Musical;
3431;Cursed;97;2005;"Wes Craven
";Christina Ricci, Jesse Eisenberg, Portia de Rossi;Comedie, Horreur, Thriller;
3432;American Splendor;101;2003;"Shari Springer Berman
, Robert Pulcini
";Paul Giamatti, Shari Springer Berman, Harvey Pekar;Biopic, Comedie, Drame;
3433;Punisher;89;1989;"Mark Goldblatt
";Dolph Lundgren, Louis Gossett Jr., Jeroen KrabbÃ©;Action, Crime, Drame;
3434;Rendez-vous avec une star;95;2004;"Robert Luketic
";Kate Bosworth, Josh Duhamel, Topher Grace;Comedie, Romantique;
3435;The Verdict;129;1982;"Sidney Lumet
";Paul Newman, Charlotte Rampling, Jack Warden;Drame;
3436;La loi du milieu;112;1971;"Mike Hodges
";Michael Caine, Ian Hendry, Britt Ekland;Crime, Thriller;
3437;The Dead Girl;85;2006;"Karen Moncrieff
";Toni Collette, Brittany Murphy, Marcia Gay Harden;Drame, MystÃ¨re, Thriller;
3438;Chocolate;110;2008;"Prachya Pinkaew
";JeeJa Yanin, Hiroshi Abe, Pongpat Wachirabunjong;Action, Drame;
3439;Dead Man's Shoes;90;2004;"Shane Meadows
";Paddy Considine, Gary Stretch, Toby Kebbell;Crime, Drame, Thriller;
3440;Les sorciÃ¨res d'Eastwick;118;1987;"George Miller
";Jack Nicholson, Cher, Susan Sarandon;Comedie, Fantastique, Horreur;
3441;Le retour des morts vivants;91;1985;"Dan O'Bannon
";Clu Gulager, James Karen, Don Calfa;Comedie, Horreur, Science-Fiction;
3442;The Ledge;101;2011;"Matthew Chapman
";Charlie Hunnam, Terrence Howard, Patrick Wilson;Drame, Thriller;
3443;Cobra;87;1986;"George P. Cosmatos
";Sylvester Stallone, Brigitte Nielsen, Reni Santoni;Action, Thriller;
3444;Attraction animale;97;2001;"Tony Goldwyn
";Ashley Judd, Greg Kinnear, Hugh Jackman;Comedie, Romantique;
3445;Shaolin Soccer;113;2001;"Stephen Chow
";Stephen Chow, Wei Zhao, Yat-fei Wong;Action, Comedie, Sport;
3446;Ice Storm;112;1997;"Ang Lee
";Kevin Kline, Joan Allen, Sigourney Weaver;Drame;
3447;La reine africaine;105;1951;"John Huston
";Humphrey Bogart, Katharine Hepburn, Robert Morley;Aventure, Romantique, Guerre;
3448;Le contrat;106;1986;"John Irvin
";Arnold Schwarzenegger, Kathryn Harrold, Sam Wanamaker;Action, Crime, Thriller;
3449;The Magdalene Sisters;119;2002;"Peter Mullan
";Eileen Walsh, Dorothy Duffy, Nora-Jane Noone;Drame;
3450;Wayne's World 2;95;1993;"Stephen Surjik
";Mike Myers, Dana Carvey, Christopher Walken;Comedie, Music;
3451;Une baraque Ã  tout casser;91;1986;"Richard Benjamin
";Tom Hanks, Shelley Long, Alexander Godunov;Comedie;
3452;AllÃ´ maman, c'est encore moi;81;1990;"Amy Heckerling
";John Travolta, Kirstie Alley, Olympia Dukakis;Comedie, Romantique;
3453;Paris, Texas;147;1984;"Wim Wenders
";Harry Dean Stanton, Nastassja Kinski, Dean Stockwell;Drame;
3454;Boys and Girls;94;2000;"Robert Iscove
";Freddie Prinze Jr., Claire Forlani, Brendon Ryan Barrett;Comedie, Romantique, Drame;
3455;Le bon fils;87;1993;"Joseph Ruben
";Macaulay Culkin, Elijah Wood, Wendy Crewson;Drame, Thriller;
3456;Stalker;163;1979;"Andrei Tarkovsky
";Alisa Freyndlikh, Aleksandr Kaydanovskiy, Anatoliy Solonitsyn;Drame, Science-Fiction;
3457;Lucas, fourmi malgrÃ© lui;88;2006;"John A. Davis
";Paul Giamatti, Nicolas Cage, Julia Roberts;Animation, Aventure, Comedie;
3458;House of Sand and Fog;126;2003;"Vadim Perelman
";Jennifer Connelly, Ben Kingsley, Ron Eldard;Drame;
3459;L'ultime razzia;85;1956;"Stanley Kubrick
";Sterling Hayden, Coleen Gray, Vince Edwards;Crime, Film-Noir, Thriller;
3460;Real Genius;108;1985;"Martha Coolidge
";Val Kilmer, Gabriel Jarret, Michelle Meyrink;Comedie, Romantique, Science-Fiction;
3461;Supergirl;150;1984;"Jeannot Szwarc
";Helen Slater, Faye Dunaway, Peter O'Toole;Action, Aventure, Fantastique;
3462;Ã€ tombeau ouvert;121;1999;"Martin Scorsese
";Nicolas Cage, Patricia Arquette, John Goodman;Drame, Thriller;
3463;K-19: Le piÃ¨ge des profondeurs;138;2002;"Kathryn Bigelow
";Harrison Ford, Sam Spruell, Peter Stebbings;Drame, Historique, Thriller;
3464;Pusher;110;1996;"Nicolas Winding Refn
";Kim Bodnia, Zlatko Buric, Laura DrasbÃ¦k;Crime, Thriller;
3465;La derniÃ¨re sÃ©ance;118;1971;"Peter Bogdanovich
";Timothy Bottoms, Jeff Bridges, Cybill Shepherd;Drame;
3466;Le contrat;96;2006;"Bruce Beresford
";John Cusack, Morgan Freeman, Jamie Anderson;Action, Crime, Drame;
3467;Miracle sur la 8Ã¨me rue;106;1987;"Matthew Robbins
";Hume Cronyn, Jessica Tandy, Frank McRae;Comedie, Drame, Familliale;
3468;Dog Soldiers;105;2002;"Neil Marshall
";Sean Pertwee, Kevin McKidd, Emma Cleasby;Action, Horreur;
3469;La famille Foldingue;106;2000;"Peter Segal
";Eddie Murphy, Janet Jackson, Larry Miller;Comedie, Romantique, Science-Fiction;
3470;Jeremiah Johnson;108;1972;"Sydney Pollack
";Robert Redford, Will Geer, Delle Bolton;Aventure, Drame, Western;
3471;Blood: The Last Vampire;91;2009;"Chris Nahon
";Gianna Jun, Allison Miller, Liam Cunningham;Action, Horreur, Thriller;
3472;Fog;89;1980;"John Carpenter
";Adrienne Barbeau, Jamie Lee Curtis, Janet Leigh;Horreur;
3473;Monsieur Flynn;102;2012;"Paul Weitz
";Paul Dano, Robert De Niro, Julianne Moore;Drame;
3474;La bande des quatre;101;1979;"Peter Yates
";Dennis Christopher, Dennis Quaid, Daniel Stern;Comedie, Drame, Sport;
3475;Nixon;192;1995;"Oliver Stone
";Anthony Hopkins, Joan Allen, Powers Boothe;Biopic, Drame;
3476;PokÃ©mon, le film;96;1998;"Kunihiko Yuyama
, Michael Haigney
";Veronica Taylor, Rachael Lillis, Eric Stuart;Animation, Action, Aventure;
3477;Le Saint;116;1997;"Phillip Noyce
";Val Kilmer, Elisabeth Shue, Rade Serbedzija;Action, Aventure, Romantique;
3478;Beowulf, la lÃ©gende viking;103;2005;"Sturla Gunnarsson
";Hringur Ingvarsson, Spencer Wilding, Stellan SkarsgÃ¥rd;Action, Aventure, Drame;
3479;La ferme en folie;90;2006;"Steve Oedekerk
";Kevin James, Courteney Cox, Danny Glover;Animation, Comedie, Familliale;
3480;La mutante 2;93;1998;"Peter Medak
";Natasha Henstridge, Michael Madsen, Marg Helgenberger;Action, Horreur, Science-Fiction;
3481;Coffee and Cigarettes;95;2003;"Jim Jarmusch
";Bill Murray, Tom Waits, Roberto Benigni;Comedie, Music, Drame;
3482;PrÃªte Ã  tout;106;1995;"Gus Van Sant
";Nicole Kidman, Matt Dillon, Joaquin Phoenix;Comedie, Crime, Drame;
3483;La derniÃ¨re licorne;92;1982;"Jules Bass
, Arthur Rankin Jr.
";Jeff Bridges, Mia Farrow, Angela Lansbury;Familliale, Animation, Fantastique;
3484;Les aventures de Buckaroo BanzaÃ¯ Ã  travers la 8e dimension;103;1984;"W.D. Richter
";Peter Weller, John Lithgow, Ellen Barkin;Aventure, Comedie, Romantique;
3485;Bernard et Bianca au pays des kangourous;77;1990;"Hendel Butoy
, Mike Gabriel
";Bob Newhart, Eva Gabor, John Candy;Animation, Aventure, Crime;
3486;Silent Running;89;1972;"Douglas Trumbull
";Bruce Dern, Cliff Potts, Ron Rifkin;Drame, Science-Fiction;
3487;Bronx Ã  Bel Air;105;2003;"Adam Shankman
";Steve Martin, Queen Latifah, Eugene Levy;Comedie;
3488;Comme chiens et chats;87;2001;"Lawrence Guterman
";Alec Baldwin, Tobey Maguire, Jeff Goldblum;Comedie;
3489;L'embrouille est dans le sac;109;1991;"John Landis
";Sylvester Stallone, Ornella Muti, Don Ameche;Comedie, Crime;
3490;Petits meurtres entre amis;92;1994;"Danny Boyle
";Kerry Fox, Christopher Eccleston, Ewan McGregor;Crime, Thriller;
3491;Les clowns tueurs venus d'ailleurs;88;1988;"Stephen Chiodo
";Grant Cramer, Suzanne Snyder, John Allen Nelson;Comedie, Horreur, Science-Fiction;
3492;Les Muppets: Ã‡a, c'est du cinÃ©ma;95;1979;"James Frawley
";Jim Henson, Frank Oz, Jerry Nelson;Aventure, Comedie, Familliale;
3493;Tyrannosaur;92;2011;"Paddy Considine
";Peter Mullan, Archie Lal, Jag Sanghera;Drame;
3494;Qu'est-il arrivÃ© Ã  Baby Jane?;134;1962;"Robert Aldrich
";Bette Davis, Joan Crawford, Victor Buono;Drame, Horreur, Thriller;
3495;Simples secrets;98;1996;"Jerry Zaks
";Meryl Streep, Leonardo DiCaprio, Diane Keaton;Drame;
3496;Snake Eyes;98;1998;"Brian De Palma
";Nicolas Cage, Gary Sinise, John Heard;Crime, MystÃ¨re, Thriller;
3497;Fletch aux trousses;98;1985;"Michael Ritchie
";Chevy Chase, Joe Don Baker, Dana Wheeler-Nicholson;Comedie, Crime, MystÃ¨re;
3498;Cours toujours Dennis;100;2007;"David Schwimmer
";Simon Pegg, Thandie Newton, Hank Azaria;Comedie, Romantique, Sport;
3499;Un monde parfait;138;1993;"Clint Eastwood
";Kevin Costner, Clint Eastwood, Laura Dern;Crime, Drame, Thriller;
3500;Le 51e Ã©tat;93;2001;"Ronny Yu
";Samuel L. Jackson, Robert Carlyle, Emily Mortimer;Action, Comedie, Crime;
3501;Le gardien du manuscrit sacrÃ©;104;2003;"Paul Hunter
";Yun-Fat Chow, Seann William Scott, Jaime King;Action, Comedie, Fantastique;
3502;Le grand saut;111;1994;"Joel Coen
, Ethan Coen
";Tim Robbins, Paul Newman, Jennifer Jason Leigh;Comedie;
3503;The Signal;103;2007;"David Bruckner
, Dan Bush
, Jacob Gentry
";Anessa Ramsey, Justin Welborn, Scott Poythress;Horreur, Science-Fiction, Thriller;
3504;Final Cut;95;2004;"Omar Naim
";Robin Williams, Jim Caviezel, Mira Sorvino;Science-Fiction, Thriller;
3505;My Girl 2;99;1994;"Howard Zieff
";Dan Aykroyd, Jamie Lee Curtis, Anna Chlumsky;Comedie, Drame, Familliale;
3506;Les disparues;137;2003;"Ron Howard
";Tommy Lee Jones, Cate Blanchett, Evan Rachel Wood;Aventure, Thriller, Western;
3507;Y a-t-il un flic pour sauver Hollywood?;83;1994;"Peter Segal
";Leslie Nielsen, Priscilla Presley, George Kennedy;Action, Comedie, Crime;
3508;La ranÃ§on;121;1996;"Ron Howard
";Mel Gibson, Gary Sinise, Rene Russo;Crime, Thriller;
3509;Les vendanges de feu;102;1995;"Alfonso Arau
";Keanu Reeves, Aitana SÃ¡nchez-GijÃ³n, Anthony Quinn;Drame, Romantique;
3510;2Ã¨me sous-sol;98;2007;"Franck Khalfoun
";Rachel Nichols, Wes Bentley, Simon Reynolds;Horreur, Thriller;
3511;L'expert;110;1994;"Luis Llosa
";Sylvester Stallone, Sharon Stone, James Woods;Action, Thriller;
3512;Karate kid III;112;1989;"John G. Avildsen
";Ralph Macchio, Pat Morita, Robyn Lively;Action, Drame, Familliale;
3513;5 Days of War;113;2011;"Renny Harlin
";Rupert Friend, Emmanuelle Chriqui, Richard Coyle;Action, Drame, Guerre;
3514;La vÃ©ritÃ© nue;107;2005;"Atom Egoyan
";Kevin Bacon, Colin Firth, Alison Lohman;Crime, Drame, MystÃ¨re;
3515;Y a-t-il un flic pour sauver le prÃ©sident?;85;1991;"David Zucker
";Leslie Nielsen, Priscilla Presley, George Kennedy;Action, Comedie, Crime;
3516;7 ans de rÃ©flexion;105;1955;"Billy Wilder
";Marilyn Monroe, Tom Ewell, Evelyn Keyes;Comedie, Romantique;
3517;La citÃ© interdite;111;2006;"Yimou Zhang
";Yun-Fat Chow, Li Gong, Jay Chou;Action, Drame, Romantique;
3518;Festin d'amour;101;2007;"Robert Benton
";Morgan Freeman, Radha Mitchell, Alexa Davalos;Drame, Romantique;
3519;Le cuisinier, le voleur, sa femme et son amant;124;1989;"Peter Greenaway
";Richard Bohringer, Michael Gambon, Helen Mirren;Drame;
3520;L'amant;115;1992;"Jean-Jacques Annaud
";Jane March, Tony Leung Ka Fai, FrÃ©dÃ©rique Meininger;Biopic, Drame, Romantique;
3521;Bye Bye Love;101;2003;"Peyton Reed
";Ewan McGregor, RenÃ©e Zellweger, David Hyde Pierce;Comedie, Romantique;
3522;Doghouse;89;2009;"Jake West
";Danny Dyer, Noel Clarke, Emil Marwa;Comedie, Horreur;
3523;Very Bad Things;100;1998;"Peter Berg
";Christian Slater, Daniel Stern, Cameron Diaz;Comedie, Crime, Thriller;
3524;Quand Harriet dÃ©coupe Charlie;93;1993;"Thomas Schlamme
";Mike Myers, Nancy Travis, Anthony LaPaglia;Comedie, Crime, Romantique;
3525;Le prÃ©sident et Miss Wade;114;1995;"Rob Reiner
";Michael Douglas, Annette Bening, Martin Sheen;Comedie, Drame, Romantique;
3526;Bug;102;2006;"William Friedkin
";Ashley Judd, Michael Shannon, Harry Connick Jr.;Horreur, Thriller;
3527;Les passagers;93;2008;"Rodrigo GarcÃ­a
";Anne Hathaway, Patrick Wilson, David Morse;Drame, MystÃ¨re, Romantique;
3528;Basil, dÃ©tective privÃ©;74;1986;"Ron Clements
, Burny Mattinson
, David Michener
, John Musker
";Vincent Price, Barrie Ingham, Val Bettin;Animation, Aventure, Familliale;
3529;The Tunnel;90;2011;"Carlo Ledesma
";Bel DeliÃ¡, Andy Rodoreda, Steve Davis;Horreur, MystÃ¨re, Thriller;
3530;The Visitor;104;2007;"Thomas McCarthy
";Richard Jenkins, Haaz Sleiman, Danai Gurira;Crime, Drame, Music;
3531;Papa, j'ai une maman pour toi;101;1995;"Andy Tennant
";Kirstie Alley, Steve Guttenberg, Mary-Kate Olsen;Comedie, Familliale, Romantique;
3532;Le chemin de la libertÃ©;94;2002;"Phillip Noyce
";Everlyn Sampi, Tianna Sansbury, Kenneth Branagh;Aventure, Biopic, Drame;
3533;Le petit monde des Borrowers;89;1997;"Peter Hewitt
";John Goodman, Jim Broadbent, Mark Williams;Comedie, Familliale, Fantastique;
3534;Backdraft;137;1991;"Ron Howard
";Kurt Russell, William Baldwin, Robert De Niro;Action, Crime, Drame;
3535;Working girl - Quand les femmes s'en mÃªlent;113;1988;"Mike Nichols
";Melanie Griffith, Harrison Ford, Sigourney Weaver;Comedie, Drame, Romantique;
3536;L'objet de mon affection;111;1998;"Nicholas Hytner
";Jennifer Aniston, Paul Rudd, Kali Rocha;Comedie, Drame, Romantique;
3537;Alone in the Dark;96;2005;"Uwe Boll
";Christian Slater, Tara Reid, Stephen Dorff;Action, Horreur;
3538;Balto chien-loup, hÃ©ros des neiges;78;1995;"Simon Wells
";Kevin Bacon, Bob Hoskins, Bridget Fonda;Animation, Aventure, Drame;
3539;Celebrity;113;1998;"Woody Allen
";Kenneth Branagh, Judy Davis, Leonardo DiCaprio;Comedie, Drame;
3540;El topo;125;1970;"Alejandro Jodorowsky
";Alejandro Jodorowsky, Brontis Jodorowsky, JosÃ© Legarreta;Western;
3541;Police academy 2: au boulot!;87;1985;"Jerry Paris
";Steve Guttenberg, Bubba Smith, David Graf;Comedie, Crime;
3542;Killing Fields;105;2011;"Ami Canaan Mann
";Sam Worthington, Jeffrey Dean Morgan, ChloÃ« Grace Moretz;Crime, Drame, Historique;
3543;Taare Zameen Par;165;2007;"Aamir Khan
, Amole Gupte
";Darsheel Safary, Aamir Khan, Tanay Chheda;Drame;
3544;L'arme fatale 3;118;1992;"Richard Donner
";Mel Gibson, Danny Glover, Joe Pesci;Action, Crime, Thriller;
3545;Mosquito Coast;117;1986;"Peter Weir
";Harrison Ford, Helen Mirren, River Phoenix;Aventure, Drame, Thriller;
3546;Cry Wolf;90;2005;"Jeff Wadlow
";Julian Morris, Lindy Booth, Jared Padalecki;Drame, Horreur, MystÃ¨re;
3547;De si jolis chevaux;116;2000;"Billy Bob Thornton
";Matt Damon, PenÃ©lope Cruz, Henry Thomas;Drame, Romantique, Western;
3548;Kill the Irishman;106;2011;"Jonathan Hensleigh
";Ray Stevenson, Christopher Walken, Vincent D'Onofrio;Action, Biopic, Crime;
3549;DrÃ´les de fantÃ´mes;104;1993;"Ron Underwood
";Robert Downey Jr., Charles Grodin, Alfre Woodard;Comedie, Drame, Fantastique;
3550;Ong-Bak 2, la naissance du dragon;98;2008;"Tony Jaa
, Panna Rittikrai
";Tony Jaa, Sarunyu Wongkrachang, Sorapong Chatree;Action;
3551;RiÂ¢hie RiÂ¢h;95;1994;"Donald Petrie
";Macaulay Culkin, Edward Herrmann, John Larroquette;Comedie, Familliale;
3552;The skulls: sociÃ©tÃ© secrÃ¨te;106;2000;"Rob Cohen
";Joshua Jackson, Paul Walker, Hill Harper;Crime, Drame, Thriller;
3553;Harvey;104;1950;"Henry Koster
";James Stewart, Josephine Hull, Peggy Dow;Comedie, Drame;
3554;Appelez-moi Dave;90;2008;"Brian Robbins
";Eddie Murphy, Elizabeth Banks, Gabrielle Union;Aventure, Comedie, Familliale;
3555;The Quiet;96;2005;"Jamie Babbit
";Camilla Belle, Elisha Cuthbert, Edie Falco;Drame, Thriller;
3556;World's Greatest Dad;99;2009;"Bobcat Goldthwait
";Robin Williams, Daryl Sabara, Morgan Murphy;Comedie, Drame;
3557;See No Evil;84;2006;"Gregory Dark
";Glenn Jacobs, Christina Vidal, Michael J. Pagan;Horreur, Thriller;
3558;L'inconnu de Las Vegas;127;1960;"Lewis Milestone
";Frank Sinatra, Dean Martin, Sammy Davis Jr.;Comedie, Crime, Music;
3559;One Missed Call;87;2008;"Eric Valette
";Edward Burns, Shannyn Sossamon, Ana Claudia TalancÃ³n;Horreur, MystÃ¨re;
3560;Lettre ouverte Ã  Jane Austen;106;2007;"Robin Swicord
";Kathy Baker, Hugh Dancy, Amy Brenneman;Comedie, Drame, Romantique;
3561;SLC Punk!;97;1998;"James Merendino
";Matthew Lillard, Michael A. Goorjian, Annabeth Gish;Comedie, Drame, Music;
3562;Memories of Murder;130;2003;"Joon-ho Bong
";Kang-ho Song, Sang-kyung Kim, Roe-ha Kim;Crime, Drame, MystÃ¨re;
3563;Faces;103;2011;"Julien Magnat
";Milla Jovovich, Julian McMahon, David Atrakchi;Crime, Drame, MystÃ¨re;
3564;The Prophecy;98;1995;"Gregory Widen
";Christopher Walken, Elias Koteas, Virginia Madsen;Horreur, Thriller, Fantastique;
3565;Espion et demi;97;2002;"Betty Thomas
";Eddie Murphy, Owen Wilson, Famke Janssen;Action, Aventure, Comedie;
3566;La riviÃ¨re sauvage;108;1994;"Curtis Hanson
";Meryl Streep, Kevin Bacon, David Strathairn;Action, Aventure, Crime;
3567;L'importance d'Ãªtre constant;97;2002;"Oliver Parker
";Rupert Everett, Colin Firth, Frances O'Connor;Comedie, Drame, Romantique;
3568;Les enchaÃ®nÃ©s;101;1946;"Alfred Hitchcock
";Cary Grant, Ingrid Bergman, Claude Rains;Drame, Film-Noir, Romantique;
3569;Mother's Day;112;2010;"Darren Lynn Bousman
";Rebecca De Mornay, Jaime King, Shawn Ashmore;Crime, Drame, Horreur;
3570;L'Ã®le aux pirates;124;1995;"Renny Harlin
";Geena Davis, Matthew Modine, Frank Langella;Action, Aventure, Comedie;
